cve_id,commit_hash,cvss_score,epss_score,cwe_id,composite_score,fixed_gate_blocked,risk_gate_blocked
CVE-2014-0593,10d5bddcea29f74a175f7f550924bf6407e52e93,9.8,0.01869,CWE-20,0.0112,True,False
CVE-2014-1604,fc9bbcd25b0b4f09bbd6339f710ad24c129d5d7c,0.0,0.00351,NVD-CWE-Other,0.0021,False,False
CVE-2014-1858,0bb46c1448b0d3f5453d5182a17ea7ac5854ee15,5.5,0.00447,CWE-20,0.0027,False,False
CVE-2014-1859,0bb46c1448b0d3f5453d5182a17ea7ac5854ee15,5.5,0.00471,CWE-59,0.0028,False,False
CVE-2014-1932,4e9f367dfd3f04c8f5d23f7f759ec12782e10ee7,0.0,0.00492,CWE-59,0.003,False,False
CVE-2014-1933,4e9f367dfd3f04c8f5d23f7f759ec12782e10ee7,0.0,0.00448,CWE-264,0.0027,False,False
CVE-2014-2235,876e3662ff6b78cc6241338c15e3a0cb49edf4e2,0.0,0.01925,CWE-79,0.4116,False,True
CVE-2014-2236,876e3662ff6b78cc6241338c15e3a0cb49edf4e2,0.0,0.02095,CWE-79,0.4126,False,True
CVE-2014-2236,a676a86b6b7a5737d4da4f59f71e037406f88d29,0.0,0.02095,CWE-79,0.4126,False,True
CVE-2014-2260,3270fd1d78391bb847b4c9ce37cf921f485b1310,0.0,0.01487,CWE-79,0.4089,False,True
CVE-2014-3498,8ed6350e65c82292a631f08845dfaacffe7f07f5,8.8,0.02498,CWE-20,0.015,True,False
CVE-2014-3589,205e056f8f9b06ed7b925cf8aa0874bc4aaf8a7d,0.0,0.03587,CWE-20,0.0215,False,False
CVE-2014-3840,398c480c10416d76e7c1dcb607e726e8fc988e72,0.0,0.03476,CWE-79,0.4209,False,True
CVE-2014-3994,50000d0bbb983fa8c097b588d06b64df8df483bd,0.0,0.02392,CWE-79,0.4144,False,True
CVE-2014-3994,77a68c03cd619a0996f3f37337b8c39ca6643d6e,0.0,0.02392,CWE-79,0.4144,False,True
CVE-2014-3994,e2c79117efd925636acd871a5f473512602243cf,0.0,0.02392,CWE-79,0.4144,False,True
CVE-2014-3995,50000d0bbb983fa8c097b588d06b64df8df483bd,0.0,0.02083,CWE-79,0.4125,False,True
CVE-2014-3995,77ac64642ad530bf69e390c51fc6fdcb8914c8e7,0.0,0.02083,CWE-79,0.4125,False,True
CVE-2014-3995,e2c79117efd925636acd871a5f473512602243cf,0.0,0.02083,CWE-79,0.4125,False,True
CVE-2014-4301,d3fc5eb142ff16d55d158afb050af18d5ff09120,0.0,0.02282,CWE-79,0.4137,False,True
CVE-2014-4678,5429b85b9f6c2e640074176f36ff05fd5e4d1916,9.8,0.05197,CWE-74,0.0312,True,False
CVE-2014-9720,1c36307463b1e8affae100bf9386948e6c1b2308,6.5,0.02489,CWE-203,0.0149,False,False
CVE-2015-1326,4e7d0df909338eb3c44b083722c7bf8b76bdf940,8.8,0.01815,CWE-20,0.0109,True,False
CVE-2015-1838,e11298d7155e9982749483ca5538e46090caef9c,5.3,0.00428,CWE-19,0.0026,False,False
CVE-2015-1839,22d2f7a1ec93300c34e8c42d14ec39d51e610b5c,5.3,0.00426,CWE-19,0.0026,False,False
CVE-2015-1839,b49d0d4b5ca5c6f31f03e2caf97cef1088eeed81,5.3,0.00426,CWE-19,0.0026,False,False
CVE-2015-2286,a1ffcc52594b1e7240501aab0ea145f1da3edb5a,6.5,0.02047,CWE-200,0.0123,False,False
CVE-2015-3010,eee56770393bf19ed2dd5389226c6190c08dee3f,0.0,0.00376,CWE-200,0.0023,False,False
CVE-2015-3171,d7759d3ddae5fe99a340c88a1d370d65cfa73fd6,5.5,0.00342,CWE-200,0.0021,False,False
CVE-2015-3220,aca8d4f898b436ff6754e1a9ab96cae976c8a853,7.5,0.03204,CWE-119,0.0192,True,False
CVE-2015-4082,78f9ad1faba7193ca7f0acccbc13b1ff6ebf9072,6.5,0.02466,CWE-264,0.0148,False,False
CVE-2015-5081,f77cbc607d6e2a62e63287d37ad320109a2cc78a,8.8,0.01036,CWE-352,0.0062,True,False
CVE-2015-5159,f274aa6787cb8b3ec1cc12c440a56665b7231882,7.5,0.02174,CWE-20,0.013,True,False
CVE-2015-5263,b542d7465f7e6e02e1ea1aec059ac607a65cefe7,8.1,0.00866,CWE-295,0.0052,True,False
CVE-2015-6240,952166f48eb0f5797b75b160fd156bbe1e8fc647,7.8,0.00443,CWE-59,0.0027,True,False
CVE-2015-6240,ca2f2c4ebd7b5e097eab0a710f79c1f63badf95b,7.8,0.00443,CWE-59,0.0027,True,False
CVE-2015-6918,28aa9b105804ff433d8f663b2f9b804f2b75495a,6.3,0.01227,CWE-200,0.0074,False,False
CVE-2015-6941,c0689e32154c41f59840ae10ffc5fbfa30618710,9.8,0.0222,CWE-534,0.0133,True,False
CVE-2015-6961,e31a099cb3456fef471886339653430ae59056b0,6.1,0.01009,CWE-601,0.0061,False,False
CVE-2015-7315,e1d981bfa14b664317285f0f36498f4be4a23406,5.9,0.02004,CWE-284,0.012,False,False
CVE-2015-7316,3da710a2cd68587f0bf34f2e7ea1167d6eeee087,6.1,0.01221,CWE-79,0.4073,False,True
CVE-2015-8213,316bc3fc9437c5960c24baceb93c73f1939711e4,0.0,0.04284,CWE-200,0.0257,False,False
CVE-2015-8309,62dec34a1ea0741400dd6b6c660d303dcd651e86,4.3,0.06665,CWE-22,0.44,False,True
CVE-2015-8310,62dec34a1ea0741400dd6b6c660d303dcd651e86,5.4,0.00847,CWE-79,0.4051,False,True
CVE-2015-8747,bcaf452e516c02c9bed584a73736431c5e8831f1,10.0,0.02945,CWE-20,0.0177,True,False
CVE-2015-8748,4bfe7c9f7991d534c8b9fbe153af9d341f925f98,5.3,0.02219,CWE-264,0.0133,False,False
CVE-2016-0720,b9e7f061788c3b86a0c67d2d4158f067ec5eb625,8.8,0.01412,CWE-352,0.0085,True,False
